Model,MDO32
Firmware Version,1.12.15

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-09
Horizontal Delay,4e-10
Sample Interval,4e-10
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0.08
,
,
,
Label,
TIME,CH1
-2.800e-09,0.002
-2.400e-09,0.004
-2.000e-09,-7.8125e-06
-1.600e-09,-0.004
-1.200e-09,-0.00400781
-8.000e-10,-0.006
-4.000e-10,-0.0200078
0.000e+00,-0.082
4.000e-10,-0.208
8.000e-10,-0.258
1.200e-09,-0.258
1.600e-09,-0.258008
2.000e-09,-0.218
2.400e-09,-0.066
2.800e-09,0
3.200e-09,0.00999219
3.600e-09,0.00599219
4.000e-09,0.008
4.400e-09,0.00799219
4.800e-09,0.00199219
5.200e-09,0.00199219
5.600e-09,0.006
6.000e-09,0.012
6.400e-09,0.0139922
6.800e-09,0.00599219
7.200e-09,0.00399219
7.600e-09,0.0119922
8.000e-09,0.0179922
8.400e-09,0.018
8.800e-09,0.0139922
9.200e-09,0.012
9.600e-09,0.01
1.000e-08,0.00199219
1.040e-08,-0.008
1.080e-08,-0.0160078
1.120e-08,-0.012
1.160e-08,-0.002
1.200e-08,0.00599219
1.240e-08,0.00999219
1.280e-08,0.00799219
1.320e-08,0.00599219
1.360e-08,0.00199219
1.400e-08,0.004
1.440e-08,0.006
1.480e-08,0.004
1.520e-08,0.002
1.560e-08,0.00599219
1.600e-08,0.008
1.640e-08,0.00599219
1.680e-08,0.00799219
1.720e-08,0.01
1.760e-08,0.01
1.800e-08,0.012
1.840e-08,0.01
1.880e-08,0.01
1.920e-08,0.00799219
1.960e-08,0.008
2.000e-08,0.008
2.040e-08,0.008
2.080e-08,0.0119922
2.120e-08,0.012
2.160e-08,0.01
2.200e-08,0.0119922
2.240e-08,0.014
2.280e-08,0.012
2.320e-08,0.012
2.360e-08,0.01
2.400e-08,0.00999219
2.440e-08,0.008
2.480e-08,0.00799219
2.520e-08,0.006
2.560e-08,0.008
2.600e-08,0.0119922
2.640e-08,0.014
2.680e-08,0.0159922
2.720e-08,0.014
2.760e-08,0.012
2.800e-08,0.012
2.840e-08,0.00799219
2.880e-08,0.01
2.920e-08,0.008
2.960e-08,0.00799219
3.000e-08,0.01
3.040e-08,0.00999219
3.080e-08,0.01
3.120e-08,0.0139922
3.160e-08,0.0139922
3.200e-08,0.014
3.240e-08,0.0119922
3.280e-08,0.01
3.320e-08,0.00999219
3.360e-08,0.0119922
3.400e-08,0.012
3.440e-08,0.00999219
3.480e-08,0.01
3.520e-08,0.01
3.560e-08,0.00999219
3.600e-08,0.0119922
3.640e-08,0.0119922
3.680e-08,0.012
3.720e-08,0.0139922
3.760e-08,0.0139922
3.800e-08,0.014
3.840e-08,0.012
3.880e-08,0.0119922
3.920e-08,0.008
3.960e-08,0.00799219
4.000e-08,0.006
4.040e-08,0.00799219
4.080e-08,0.008
4.120e-08,0.0119922
4.160e-08,0.014
4.200e-08,0.0159922
4.240e-08,0.0139922
4.280e-08,0.0139922
4.320e-08,0.0119922
4.360e-08,0.01
4.400e-08,0.00999219
4.440e-08,0.00799219
4.480e-08,0.006
4.520e-08,0.01
4.560e-08,0.00999219
4.600e-08,0.00999219
4.640e-08,0.012
4.680e-08,0.0119922
4.720e-08,0.0119922
4.760e-08,0.0119922
4.800e-08,0.0119922
4.840e-08,0.00999219
4.880e-08,0.008
4.920e-08,0.008
4.960e-08,0.008
5.000e-08,0.00799219
5.040e-08,0.01
5.080e-08,0.008
5.120e-08,0.00799219
5.160e-08,0.008
5.200e-08,0.00999219
5.240e-08,0.012
5.280e-08,0.014
5.320e-08,0.0139922
5.360e-08,0.00999219
5.400e-08,0.00799219
5.440e-08,0.00799219
5.480e-08,0.00799219
5.520e-08,0.00599219
5.560e-08,0.006
5.600e-08,0.008
5.640e-08,0.0119922
5.680e-08,0.014
5.720e-08,0.0139922
5.760e-08,0.0139922
5.800e-08,0.0119922
5.840e-08,0.008
5.880e-08,0.00799219
5.920e-08,0.006
5.960e-08,0.00399219
6.000e-08,0.00599219
6.040e-08,0.006
6.080e-08,0.008
6.120e-08,0.01
6.160e-08,0.012
6.200e-08,0.012
6.240e-08,0.00999219
6.280e-08,0.008
6.320e-08,0.00999219
6.360e-08,0.006
6.400e-08,0.006
6.440e-08,0.00799219
6.480e-08,0.00799219
6.520e-08,0.00599219
6.560e-08,0.00599219
6.600e-08,0.00599219
6.640e-08,0.006
6.680e-08,0.00599219
6.720e-08,0.00799219
6.760e-08,0.01
6.800e-08,0.01
6.840e-08,0.004
6.880e-08,0.00599219
6.920e-08,0.004
6.960e-08,0.006
7.000e-08,0.004
7.040e-08,0.00399219
7.080e-08,0.00399219
7.120e-08,0.00599219
7.160e-08,0.00599219
7.200e-08,0.008
7.240e-08,0.00799219
7.280e-08,0.006
7.320e-08,0.00599219
7.360e-08,0.00599219
7.400e-08,0.006
7.440e-08,0.002
7.480e-08,0.002
7.520e-08,0.002
7.560e-08,0.004
7.600e-08,0.00199219
7.640e-08,0.00399219
7.680e-08,0.00599219
7.720e-08,0.006
7.760e-08,0.00799219
7.800e-08,0.008
7.840e-08,0.006
7.880e-08,0.00399219
7.920e-08,0.00399219
7.960e-08,0.00399219
8.000e-08,0.00199219
8.040e-08,0.00399219
8.080e-08,0
8.120e-08,-7.8125e-06
8.160e-08,-7.8125e-06
8.200e-08,0.004
8.240e-08,0.00599219
8.280e-08,0.01
8.320e-08,0.00999219
8.360e-08,0.00599219
8.400e-08,0.00199219
8.440e-08,0.00199219
8.480e-08,0.00199219
8.520e-08,-7.8125e-06
8.560e-08,-7.8125e-06
8.600e-08,0.002
8.640e-08,0.006
8.680e-08,0.006
8.720e-08,0.00599219
8.760e-08,0.008
8.800e-08,0.00599219
8.840e-08,0.004
8.880e-08,0
8.920e-08,-0.00200781
8.960e-08,-7.8125e-06
9.000e-08,0
9.040e-08,0.00199219
9.080e-08,0.00399219
9.120e-08,0.00599219
9.160e-08,0.00599219
9.200e-08,0.006
9.240e-08,0.006
9.280e-08,0.00399219
9.320e-08,-7.8125e-06
9.360e-08,0.00199219
9.400e-08,0
9.440e-08,0.00199219
9.480e-08,-7.8125e-06
9.520e-08,-7.8125e-06
9.560e-08,0.00199219
9.600e-08,0.002
9.640e-08,0.004
9.680e-08,0.002
9.720e-08,0.004
9.760e-08,0.002
9.800e-08,0.00199219
9.840e-08,0.002
9.880e-08,0.00199219
9.920e-08,-7.8125e-06
9.960e-08,-0.00200781
1.000e-07,-0.002
1.004e-07,-0.00400781
1.008e-07,-0.002
1.012e-07,0.002
1.016e-07,0.004
1.020e-07,0.00599219
1.024e-07,0.00399219
1.028e-07,0.00199219
1.032e-07,0.00199219
1.036e-07,0.002
1.040e-07,-7.8125e-06
1.044e-07,-0.00200781
1.048e-07,-0.00200781
1.052e-07,0.00199219
1.056e-07,0.002
1.060e-07,-7.8125e-06
1.064e-07,0.00199219
1.068e-07,0.00199219
1.072e-07,0.00199219
1.076e-07,0.002
1.080e-07,0.002
1.084e-07,0.00399219
1.088e-07,0.00199219
1.092e-07,-7.8125e-06
1.096e-07,-0.00200781
1.100e-07,-0.00200781
1.104e-07,0
1.108e-07,0
1.112e-07,0
1.116e-07,0
1.120e-07,0.00199219
1.124e-07,0.00199219
1.128e-07,0.002
1.132e-07,-7.8125e-06
1.136e-07,-7.8125e-06
1.140e-07,0
1.144e-07,-0.004
1.148e-07,-0.00400781
1.152e-07,-0.002
1.156e-07,-0.00200781
1.160e-07,-7.8125e-06
1.164e-07,-7.8125e-06
1.168e-07,0.00199219
1.172e-07,0.00199219
1.176e-07,0
1.180e-07,-7.8125e-06
1.184e-07,-0.00200781
1.188e-07,-0.002
1.192e-07,-0.00200781
1.196e-07,-0.004
1.200e-07,-0.00400781
1.204e-07,-0.00400781
1.208e-07,-0.002
1.212e-07,0.00199219
1.216e-07,0.00199219
1.220e-07,0.002
1.224e-07,0.002
1.228e-07,0.00199219
1.232e-07,0
1.236e-07,-0.002
1.240e-07,-7.8125e-06
1.244e-07,-0.00200781
1.248e-07,-0.00200781
1.252e-07,-0.00200781
1.256e-07,-0.00400781
1.260e-07,0
1.264e-07,-7.8125e-06
1.268e-07,0
1.272e-07,-7.8125e-06
1.276e-07,0.002
1.280e-07,0.002
1.284e-07,-7.8125e-06
1.288e-07,0
1.292e-07,-0.002
1.296e-07,-0.00400781
1.300e-07,-0.004
1.304e-07,-0.004
1.308e-07,-0.002
1.312e-07,-0.002
1.316e-07,-7.8125e-06
1.320e-07,0.00199219
1.324e-07,0
1.328e-07,0
1.332e-07,0
1.336e-07,-0.00400781
1.340e-07,-0.002
1.344e-07,-0.00400781
1.348e-07,-0.00400781
1.352e-07,-0.00400781
1.356e-07,-0.00200781
1.360e-07,-0.002
1.364e-07,-0.00200781
1.368e-07,-7.8125e-06
1.372e-07,-7.8125e-06
1.376e-07,0
1.380e-07,0
1.384e-07,-7.8125e-06
1.388e-07,-0.002
1.392e-07,-7.8125e-06
1.396e-07,-0.00400781
1.400e-07,-0.004
1.404e-07,-0.00400781
1.408e-07,-0.00200781
1.412e-07,-0.002
1.416e-07,-0.002
1.420e-07,-0.002
1.424e-07,0
1.428e-07,0.002
1.432e-07,-7.8125e-06
1.436e-07,-7.8125e-06
1.440e-07,-0.004
1.444e-07,-0.006
1.448e-07,-0.00600781
1.452e-07,-0.004
1.456e-07,-0.00400781
1.460e-07,-0.004
1.464e-07,-0.002
1.468e-07,0
1.472e-07,0.002
1.476e-07,0
1.480e-07,-0.002
1.484e-07,-0.004
1.488e-07,-0.00400781
1.492e-07,-0.00400781
1.496e-07,-0.004
1.500e-07,-0.00400781
1.504e-07,-0.004
1.508e-07,-0.002
1.512e-07,0
1.516e-07,0.00199219
1.520e-07,0
1.524e-07,-0.002
1.528e-07,-0.00200781
1.532e-07,-0.00200781
1.536e-07,-0.00400781
1.540e-07,-0.004
1.544e-07,-0.00400781
1.548e-07,-0.00400781
1.552e-07,-0.00400781
1.556e-07,-0.002
1.560e-07,-0.004
1.564e-07,-0.00200781
1.568e-07,-0.00400781
1.572e-07,-0.002
1.576e-07,0
1.580e-07,0
1.584e-07,0
1.588e-07,-0.002
1.592e-07,-0.00200781
1.596e-07,-0.00400781
1.600e-07,-0.004
1.604e-07,-0.006
1.608e-07,-0.00400781
1.612e-07,-7.8125e-06
1.616e-07,-0.002
1.620e-07,0
1.624e-07,-7.8125e-06
1.628e-07,0
1.632e-07,-0.002
1.636e-07,-0.00400781
1.640e-07,-0.004
1.644e-07,-0.004
1.648e-07,-0.004
1.652e-07,-0.004
1.656e-07,-0.00200781
1.660e-07,-0.00400781
1.664e-07,-0.004
1.668e-07,-0.00400781
1.672e-07,-0.002
1.676e-07,-0.00200781
1.680e-07,-0.00200781
1.684e-07,-0.004
1.688e-07,-0.002
1.692e-07,-0.00200781
1.696e-07,-0.00400781
1.700e-07,-0.004
1.704e-07,-0.004
1.708e-07,-0.00400781
1.712e-07,-0.004
1.716e-07,-0.00400781
1.720e-07,-0.00200781
1.724e-07,-0.00200781
1.728e-07,0
1.732e-07,-7.8125e-06
1.736e-07,-0.002
1.740e-07,-0.00400781
1.744e-07,-0.00400781
